imdb_name_id,name,birth_name,height,bio,date_of_birth,place_of_birth,date_of_death,place_of_death,divorces,children
nm0000102,Kevin Bacon,Kevin Norwood Bacon,178,Kevin Norwood Bacon was born on July 8  1958 in Philadelphia  Pennsylvania  to Ruth Hilda (Holmes)  an elementary school teacher  and Edmund Norwood Bacon  a prominent architect who was on the cover of Time Magazine in November 1964.Kevin's early training as an actor came from The Manning Street. His debut as the strict Chip Diller in Animal House (1978) almost seems like an inside joke  but he managed to escape almost unnoticed from that role. A cena con gli amici (1982) became the turning point after a couple of television series and a number of less-than-memorable movie roles. In a cast of soon-to-be stars  he more than held his end up  and we saw a glimpse of the real lunatic image of The Bacon. He also starred in Footloose (1984)  Un amore rinnovato (1988)  Tremors (1990) with Fred Ward  Linea mortale (1990)  and Apollo 13 (1995).Bacon is married to actress Kyra Sedgwick  with whom he has 2 children.,1958-07-08,Philadelphia  Pennsylvania  USA,,,0,2
nm0000103,Fairuza Balk,Fairuza Alejandra Feldthouse,160,"Fairuza!" ("Turquoise" in Farsi)  her father exclaimed as he saw her blue eyes: Fairuza Alejandra Balk had just been born on May 21  1974 in Point Reyes  California. Her father  Solomon Feldthouse  was a traveling musician originally from Idaho  and her mother  Cathryn Balk  was a belly dancer. Her parents split up soon after. Fairuza grew up just north of San Francisco  California on a commune-type ranch. Her mother later found work in Vancouver  British Columbia  Canada. It was there that Fairuza began her career at age 9 on the ABC special The Best Christmas Pageant Ever (1983). Two years later  she went to the United Kingdom where she attended the Royal Academy of Ballet  the Ramona Beauchamp Agency  and the Bush Davies Performing Arts School. Fairuza worked for the Walt Disney Company for a while; at 11  she was chosen from 1 200 girls to star as Dorothy in Nel fantastico mondo di Oz (1985). The next year she starred  prophetically enough  as Zero in magia (1986) a harbinger of her breakout role in Giovani streghe (1996) 10 years later.Fairuza and her mother remained in London until 1988  then went to Paris where the 15-year-old starred in Valmont (1989). The next year they returned to Vancouver and Fairuza enrolled in high school  but ended up doing correspondence courses after proving shy in class. Back in Hollywood she starred in a string of movies  including Deserto di Laramie (1992)  for which she received an Independent Spirit Award for Best Actress. Following further television and film work  she achieved cult status with her starring role as a teenage witch in her breakout film  Giovani streghe (1996). That year she also appeared in L'isola perduta (1996)  in which she did some belly-dancing and attracted the attention of Lancashire  England-born co-star David Thewlis. They did another movie together  American Perfekt (1997).Fairuza was also the love interest in the wildly-popular Waterboy (1998) and had a major role in American History X (1998). With a half-dozen movies for 2000  Fairuza is much in demand. Her interests are writing poetry and stories  playing the guitar  singing (her main enjoyment)  and dancing. She lives in Venice  California and has an apartment in New York City.,1974-05-21,Point Reyes  California  USA,,,0,0
nm0000105,Adrienne Barbeau,Adrienne Jo Barbeau,157,Adrienne Jo Barbeau is an American actress and author best known for her roles on the TV series Maude (1972) and in horror films  especially those directed by John Carpenter  with whom she was once married. She was born on June 11  1945 in Sacramento  California  the daughter of an executive for Mobil Oil. Early on in her career  she starred in Procedura ossessiva (1978)  Fog (1980)  1997: fuga da New York (1981) and Il mostro della palude (1982)  all John Carpenter-related projects. She has collaborated with George A. Romero on occasion  such as the Stephen King-scripted Creepshow (1982) and Due occhi diabolici (1990). Her work with other horror directors includes the Wes Craven comic book monster movie Il mostro della palude (1982). During the 1990s  she became best known for providing the voice of Catwoman on Batman (1992).,1945-06-11,Sacramento  California  USA,,,2,3
nm0000107,Kim Basinger,Kimila Ann Basinger,172,Kim Basinger was born December 8  1953  in Athens  Georgia  the third of five children. Both her parents had been in entertainment  her dad had played big-band jazz  and her mother had performed water ballet in several Esther Williams movies. Kim was introspective  from her father's side. As a schoolgirl  she was very shy. To help her overcome this  her parents had Kim study ballet from an early age. By the time she reached sweet sixteen  the once-shy Kim entered the Athens Junior Miss contest. From there  she went on to win the Junior Miss Georgia title  and traveled to New York to compete in the national Junior Miss pageant. Kim  who had blossomed to a 5' 7" beauty  was offered a contract on the spot with the Ford Modeling Agency. At the age of 20  Kim was a top model commanding $1 000 a day. Throughout the early 1970s  she appeared on dozens of magazine covers and in hundreds of ads  most notably as the Breck girl. Kim took acting classes at the Neighborhood Playhouse  performed in various Greenwich Village clubs  and she sang under the stage name Chelsea. Kim moved to Los Angeles in 1976  ready to conquer Hollywood. Kim broke into television doing episodes of such hit series as Charlie's Angels (1976). In 1980  she married Ron Snyder (they divorced in 1989). In movies  she had roles like being a Bond girl in Mai dire mai (1983) and playing a small-town Texan beauty in Nadine - Un amore a prova di proiettile (1987). Her breakout role was as photojournalist Vicki Vale in the blockbuster hit Batman (1989). There was no long-orchestrated campaign on her part to snag this plum role  Kim was a last-minute replacement for Sean Young. This took her to a career high.With perhaps too much disposable income  Kim headed up an investment group that purchased the entire town of Braselton  in her native Georgia  for $20 million (she would later have to sell it). In 1993  Kim married Alec Baldwin  and in 1995 they had a daughter  Ireland Eliesse. Kim took some time off to stay at home with her child. Kim  who loves animals and is a strict vegetarian  devoted energy to animal rights issues  and PETA (People for the Ethical Treatment of Animals)  even posing for some ads. In 1997  Kim gave an Oscar-winning performance in the film noir classic L.A. Confidential (1997). Kim's salary for Sognando l'Africa (2000) was $5 000 000  putting her firmly in the category of big-name movie star. And no doubt there are still many great things ahead  in the career of cover girl turned Oscar-winning actress Kim Basinger.,1953-12-08,Athens  Georgia  USA,,,2,1
nm0000108,Luc Besson,Luc Besson,172,Luc Besson spent the first years of his life following his parents  scuba diving instructors  around the world. His early life was entirely aquatic. He already showed amazing creativity as a youth  writing early drafts of Le grand bleu (1988) and Il quinto elemento (1997)  as an adolescent bored in school. He planned on becoming a marine biologist specializing in dolphins until a diving accident at age 17 which rendered him unable to dive any longer. He moved back to Paris  where he was born  and only at age 18 did he first have an urban life or television. He realized that film was a medium which he could combine all his interests in various arts together  so he began taking odd jobs on various films. He moved to America for three years  then returned to France and formed Les Films de Loups - his own production company  which later changed its name to Les Films de Dauphins. He is now able to dive again.,1959-03-18,Paris  France,,,3,5
nm0000109,Yasmine Bleeth,Yasmine Amanda Bleeth,165,Yasmine Bleeth was born on June 14  1968 in New York City  New York  USA as Yasmine Amanda Bleeth. She is an actress  known for Baseketball (1998)  Baywatch - Matrimonio alle Hawaii (2003) and La ragazza di Las Vegas (1998). She has been married to Paul Cerrito since August 25  2002.,1968-06-14,New York City  New York  USA,,,0,0
nm0000110,Kenneth Branagh,Kenneth Charles Branagh,177,Kenneth Charles Branagh was born on December 10  1960  in Belfast  Northern Ireland  to parents William Branagh  a plumber and carpenter  and Frances (Harper)  both born in 1930. He has two siblings  William Branagh  Jr. (born 1955) and Joyce Branagh (born 1970). When he was nine  his family escaped The Troubles by moving to Reading  Berkshire  England. At 23  Branagh joined the Royal Shakespeare Company  where he took on starring roles in "Henry V" and "Romeo and Juliet". He soon found the RSC too large and impersonal and formed his own  the Renaissance Theatre Company  which now counts Prince Charles as one of its royal patrons. At 29  he directed Enrico V (1989)  where he also co-starred with his then-wife  Emma Thompson. The film brought him Best Actor and Best Director Oscar nominations. In 1993  he brought Shakespeare to mainstream audiences again with his hit adaptation of Molto rumore per nulla (1993)  which featured an all-star cast that included  among others  Denzel Washington  Michael Keaton and Keanu Reeves. At 30  he published his autobiography and  at 34  he directed and starred as "Victor Frankenstein" in the big-budget adaptation of Mary Shelley's novel  Frankenstein di Mary Shelley (1994)  with Robert De Niro as the monster himself. In 1996  Branagh wrote  directed and starred in a lavish adaptation of Hamlet (1996). His superb film acting work also includes a wide range of roles such as in Celebrity (1998)  Wild Wild West (1999)  La strada per El Dorado (2000)  Operazione Valchiria (2008) and his stunning portrayal of Laurence Olivier in Marilyn (2011)  where once again he offered a great performance that was also nominated for an Academy Award.,1960-12-10,Belfast  Northern Ireland  UK,,,1,0
nm0000114,Steve Buscemi,Steven Vincent Buscemi,173,Steve Buscemi was born in Brooklyn  New York  to Dorothy (Wilson)  a restaurant hostess  and John Buscemi  a sanitation worker. He is of Italian (father) and English  Dutch  and Irish (mother) descent. He became interested in acting during his last year of high school. After graduating  he moved to Manhattan to study acting with John Strasberg. He began writing and performing original theatre pieces with fellow actor/writer Mark Boone Junior. This led to his being cast in his first lead role in Parting Glances (1986). Since then  he has worked with many of the top filmmakers in Hollywood  including Quentin Tarantino  Jerry Bruckheimer  and The Coen Brothers. He is a highly respected actor.,1957-12-13,Brooklyn  New York City  New York  USA,,,0,1
nm0000115,Nicolas Cage,Nicholas Kim Coppola,183,Nicolas Cage was born Nicolas Kim Coppola in Long Beach  California  the son of comparative literature professor August Coppola (whose brother is director Francis Ford Coppola) and dancer/choreographer Joy Vogelsang. He is of Italian (father) and Polish and German (mother) descent. Cage changed his name early in his career to make his own reputation  succeeding brilliantly with a host of classic  quirky roles by the late 1980s.Initially studying theatre at Beverly Hills High School (though he dropped out at seventeen)  he secured a bit part in Fuori di testa (1982) -- most of which was cut  dashing his hopes and leading to a job selling popcorn at the Fairfax Theater  thinking that would be the only route to a movie career. But a job reading lines with actors auditioning for uncle Francis' Rusty il selvaggio (1983) landed him a role in that film  followed by the punk-rocker in La ragazza di San Diego (1983)  which was released first and truly launched his career.His one-time passion for method acting reached a personal limit when he smashed a street-vendor's remote-control car to achieve the sense of rage needed for his gangster character in Cotton Club (1984).In his early 20s  he dated Jenny Wright for two years and later linked to Uma Thurman. After a relationship of several years with Christina Fulton  a model  they split amicably and share custody of a son  Weston Cage Coppola (b.1992). He also has a son with his ex-wife  Alice Kim Cage.,1964-01-07,Long Beach  California  USA,,,4,1
nm0000117,Neve Campbell,Neve Adrianne Campbell,170,Neve Campbell was born and raised in Guelph  Ontario  to Marnie (Neve)  a Dutch-born psychologist and yoga instructor (from Amsterdam)  and Gerry Campbell  a Scottish-born teacher (from Glasgow). Campbell first came to our TV screens in the hit Drama series Cinque in famiglia (1994). Described as TV's most believable teenager  her first major film role came in the form of innocent victim "Sidney Prescott" in Scream (1996)  the film which re-defined the slasher genre.She joined the cast of the acclaimed series House of Cards In 2016  playing Leann Harvey  shortly after in 2018 she starred opposite Dwayne Johnson in the action movie Skyscraper.Many film offers came her way but  as she was filming Cinque in famiglia (1994) for nine months of the year  the filming schedules often clashed. So in 2000  she announced that she was to leave the award winning show to concentrate on a film career.Spreading through many genres  her film credits to date include the romantic comedy Appuntamento a tre (1999) alongside Matthew Perry and the erotic thriller Sex crimes - Giochi pericolosi (1998) with Denise Richards and Matt Dillon  though she has turned to a more art house approach with the critically acclaimed Panic (2000) and  more recently  Last Call - Genio ribelle (2002)  both directed by Henry Bromell.She is an animal lover and describes herself as having a dry  often offensive sense of humor.,1973-10-03,Guelph  Ontario  Canada,,,2,0
nm0000118,John Carpenter,John Howard Carpenter,180,John Howard Carpenter was born in Carthage  New York  to mother Milton Jean (Carter) and father Howard Ralph Carpenter. His family moved to Bowling Green  Kentucky  where his father  a professor  was head of the music department at Western Kentucky University. He attended Western Kentucky University and then USC film school in Los Angeles. He began making short films in 1962  and won an Academy Award for Best Live-Action Short Subject in 1970  for The Resurrection of Broncho Billy (1970)  which he made while at USC. Carpenter formed a band in the mid-1970s called The Coupe de Villes  which included future directors Tommy Lee Wallace and Nick Castle. Since the 1970s  he has had numerous roles in the film industry including writer  actor  composer  producer  and director. After directing Dark Star (1974)  he has helmed both classic horror films like Halloween - La notte delle streghe (1978)  Fog (1980)  and La cosa (1982)  and noted sci-fi tales like 1997: fuga da New York (1981) and Starman (1984).,1948-01-16,Carthage  New York  USA,,,1,1
nm0000119,Tia Carrere,Althea Rae Janairo,173,Tia Carrere was born Althea Rae Janairo in Honolulu  Hawaii. While attending Sacred Hearts Academy  Tia was discovered in a Waikiki grocery store and landed the female lead in the film Aloha Summer. Although her passion has always been singing (grandmother Rae took Tia to her first singing lesson at age 11)  Tia would continue her ascent in the acting world with a regular stint on General Hospital as Jade Soong and a string of co-starring roles on MacGyver  Quantum Leap  Married With Children  and Friday the 13th  among others.With her breakthrough role as Cassandra Wong in Wayne's World and Wayne's World 2 Tia was able to showcase both her considerable singing and acting chops. Wayne's World was a worldwide phenom and set the stage for the evil femme fatale Juno Skinner in James Cameron's film True Lies  opposite Arnold Schwarzenegger  computer whiz Jingo Asakuma in Rising Sun  opposite Sean Connery  and her own series lead of Sydney Fox on Relic Hunter.Other work includes appearing on FX network's Nip/Tuck  on Kelsey Grammer's Back to You  in USA Network's In Plain Sight  recurring as Cha Cha on HBO's Curb Your Enthusiasm  and voice work on the Disney film and subsequent tv series Lilo & Stitch. Recently  Tia returned to her Hawaiian roots with four Grammy Award-nominated CDs  winning the Grammy Award twice  where she also co-hosted and performed during the ceremony. Tia performed some of her Grammy-winning Hawaiian music recently on CBS series Hawaii 5-0. Comedy Central's television program Comedy Jam and their live comedy festival Clusterfest found Tia reprising her signature Ballroom Blitz performance from Wayne's World. Tia also co-stars in the music video for Wiz Khalifs's song 'Stayin Out All Night' which has received over 36 million views to date.,1967-01-02,Honolulu  Hawaii  USA,,,2,1
nm0000121,Phoebe Cates,Phoebe Belle Cates,170,Phoebe Belle Cates was born on July 16  1963 in New York City  New York  and raised there. She is the daughter of Lily and Joseph Cates  who was a Broadway producer and television pioneer. Her uncle was director/producer Gilbert Cates. Phoebe is of Russian Jewish  and one quarter Chinese  descent. She studied at Miss Hewitt's school and at the Professional Children's School in New York City. She took classes at Juilliard when she was ten-years-old for three and a half years until a knee injury forced her to stop. Phoebe had been a busy New York model starting at the age of fourteen. She's since been featured on the covers of four Seventeens  two Elle covers  a British Vogue  and Andy Warhol's Interview  as well as in numerous layouts in other magazines. She actively pursued her modeling career  until she met her film agent at a party at New York's Studio 54. She trains with Robert Ravan  founder of The Actors' Circle in New York. Previously she studied with Alice Spivack of the H.B. Studios. Cates made her motion picture debut as Sarah in Paradise (1982) in the same year she starred as Jennifer Jason Leigh's "experienced" confidante in Amy Heckerling's acclaimed Fuori di testa (1982). Cates then landed the role of "Christine Ramsey" in American College (1983)  then co-starred in the innovative Gremlins (1984) for Steven Spielberg's Amblin Entertainment  directed by Joe Dante. Cates has remained active in theatre  as well. After making her New York debut in Joseph Papp's Off-Broadway production of "The Nest of the Wood Grouse" in 1984  she followed with David Henry Hwang's "Rich Relations" at The Second Stage and a one-act festival at the Manhattan Punchline. On the West Coast  Cates played "Nina" in the La Jolla Playhouse production of Anton Chekhov's "The Sea Gull" and has since appeared in "Much Ado About Nothing" at New York's Public Theatre  and as "Juliet" in Chicago's Goodman Theatre production of "Romeo and Juliet".Since 1989  Cates has been married to actor Kevin Kline  with whom she has two children.,1963-07-16,New York City  New York  USA,,,0,2
nm0000129,Tom Cruise,Thomas Cruise Mapother IV,170,In 1976  if you had told fourteen-year-old Franciscan seminary student Thomas Cruise Mapother IV that one day in the not too distant future he would be Tom Cruise  one of the top 100 movie stars of all time  he would have probably grinned and told you that his ambition was to join the priesthood. Nonetheless  this sensitive  deeply religious youngster who was born in 1962 in Syracuse  New York  was destined to become one of the highest paid and most sought after actors in screen history.Tom is the only son (among four children) of nomadic parents  Mary Lee (Pfeiffer)  a special education teacher  and Thomas Cruise Mapother III  an electrical engineer. His parents were both from Louisville  Kentucky  and he has German  Irish  and English ancestry. Young Tom spent his boyhood always on the move  and by the time he was 14 he had attended 15 different schools in the U.S. and Canada. He finally settled in Glen Ridge  New Jersey with his mother and her new husband. While in high school  Tom wanted to become a priest but pretty soon he developed an interest in acting and abandoned his plans of becoming a priest  dropped out of school  and at age 18 headed for New York and a possible acting career. The next 15 years of his life are the stuff of legends. He made his film debut with a small part in Amore senza fine (1981) and from the outset exhibited an undeniable box office appeal to both male and female audiences.With handsome movie star looks and a charismatic smile  within 5 years Tom Cruise was starring in some of the top-grossing films of the 1980s including Top Gun (1986); Il colore dei soldi (1986)  Rain Man - L'uomo della pioggia (1988) and Nato il quattro luglio (1989). By the 1990s he was one of the highest-paid actors in the world earning an average 15 million dollars a picture in such blockbuster hits as Intervista col vampiro (1994)  Mission: Impossible (1996) and Jerry Maguire (1996)  for which he received an Academy Award Nomination for best actor. Tom Cruise's biggest franchise  Mission Impossible  has also earned a total of 3 billion dollars worldwide. Tom Cruise has also shown lots of interest in producing  with his biggest producer credits being the Mission Impossible franchise.In 1990 he renounced his devout Catholic beliefs and embraced The Church of Scientology claiming that Scientology teachings had cured him of the dyslexia that had plagued him all of his life. A kind and thoughtful man well known for his compassion and generosity  Tom Cruise is one of the best liked members of the movie community. He was married to actress Nicole Kidman until 2001. Thomas Cruise Mapother IV has indeed come a long way from the lonely wanderings of his youth to become one of the biggest movie stars ever.,1962-07-03,Syracuse  New York  USA,,,3,3
